time_s,veh_id,x_m,y_m,speed_kmh
2.0,v0,5.1,-1.6,0.0
3.0,v0,5.654495642194524,-1.6,1.996184311900288
4.0,v0,6.852744602388702,-1.6,4.313696256699041
5.0,v0,9.028253851947374,-1.6,7.831833298411221
6.0,v0,11.958040500897914,-1.6,10.547231936221943
7.0,v0,15.592849751841275,-1.6,13.085313303396106
8.0,v0,20.205853085638957,-1.6,16.606812001671642
9.0,v0,25.447227729391308,-1.6,18.868948717508466
10.0,v0,31.56485211607069,-1.6,22.023447792045772
11.0,v0,38.409838888118976,-1.6,24.641952379373834
12.0,v0,45.882265932648444,-1.6,26.900737360306085
13.0,v0,54.35167543254793,-1.6,30.489874199638145
14.0,v0,63.484582981467256,-1.6,32.87846717610955
15.0,v0,73.38440808539744,-1.6,35.63937037414871
16.0,v0,84.0581773817772,-1.6,38.42556946696714
17.0,v0,95.44880886459723,-1.6,41.0062733381521
